,zona,quartos,area,preco
21,sul,5,410,30000
22,sul,2,150,3400
23,sul,4,280,5000
24,sul,3,120,3800
25,sul,,1200,70000
26,sul,,518,24000
27,sul,,400,13000
28,sul,,520,50000
29,sul,4,160,3600
30,sul,1,25,900
31,sul,,270,12999
32,sul,,800,24999
33,sul,,400,5800
34,sul,,250,15000
35,sul,2,45,1600
36,sul,,330,7000
37,sul,,196,12000
38,sul,,167,5270
39,sul,4,250,5000
40,sul,2,144,2800
41,sul,2,120,3100
42,sul,,168,12000
43,sul,2,140,2200
44,sul,4,340,12500
45,sul,2,60,1100
46,sul,3,180,8500
47,sul,4,300,7000
0,sul,4,480,5500
1,sul,4,280,13000
2,sul,4,460,35000
3,sul,6,180,7900
4,sul,2,139,4600
5,sul,4,500,15000
6,sul,3,250,16000
7,sul,3,170,10000
8,sul,6,307,28000
9,sul,6,420,19500
10,sul,3,400,9000
11,sul,5,550,8000
12,sul,4,350,10000
13,sul,3,140,7000
14,sul,3,250,8000
15,sul,2,130,3800
16,sul,4,500,15000
17,sul,6,250,18000
18,sul,2,80,5000
19,sul,4,500,20000
20,sul,10,350,13000
21,sul,1,160,10000
22,sul,8,520,25000
23,sul,4,460,30000
24,sul,3,280,7000
25,sul,1,500,39000
26,sul,2,75,1400
27,sul,3,180,3500
28,sul,2,110,2100
29,sul,1,100,12000
30,sul,3,150,8000
31,sul,2,130,2700
32,sul,1,340,11800
33,sul,,436,22000
34,sul,3,100,2600
35,sul,3,155,3200
36,sul,4,200,7000
37,sul,4,250,12000
38,sul,4,250,12000
39,sul,1,60,2200
40,sul,3,600,10000
41,sul,3,90,4000
42,sul,,350,10000
43,sul,4,565,6120
44,sul,3,180,7500
45,sul,4,150,10000
46,sul,4,793,11000
47,sul,1,40,1200
0,sul,,200,7000
1,sul,2,127,3000
2,sul,,107,8000
3,sul,3,180,2500
4,sul,3,160,3900
5,sul,,45,1500
6,sul,,,900
7,sul,3,172,2550
8,sul,2,50,1400
9,sul,2,180,2000
10,sul,,480,20000
11,sul,2,200,2800
12,sul,1,25,1151
13,sul,3,150,5000
14,sul,,250,4500
15,sul,2,40,1280
16,sul,2,40,1500
17,sul,3,180,3000
18,sul,4,600,30000
19,sul,2,5,2500
20,sul,2,130,1350
21,sul,2,2,1250
22,sul,1,35,1200
23,sul,2,30,1150
24,sul,4,400,10000
25,sul,,,750
26,sul,3,400,12000
27,sul,4,221,3500
28,sul,3,110,3000
29,sul,2,100,2000
30,sul,,200,4000
31,sul,3,250,3700
32,sul,4,200,9000
33,sul,1,40,1100
34,sul,3,180,3500
35,sul,2,90,1750
36,sul,4,191,4000
37,sul,2,80,2500
38,sul,1,45,750
39,sul,2,125,2500
40,sul,3,130,2800
41,sul,,,3000
42,sul,9,240,5000
43,sul,3,120,3500
44,sul,5,300,4500
45,sul,2,50,1800
46,sul,1,245,2300
47,sul,3,150,3000
0,sul,3,104,3500
1,sul,1,40,750
2,sul,3,320,18000
3,sul,2,70,1500
4,sul,,,4500
5,sul,,120,2200
6,sul,,1470,30000
7,sul,2,80,1900
8,sul,4,250,6000
9,sul,,80,3500
10,sul,2,107,2700
11,sul,,,2000
12,sul,1,2,850
13,sul,4,1500,30000
14,sul,,122,3000
15,sul,3,150,4000
16,sul,3,122,3400
17,sul,,175,3000
18,sul,3,216,4000
19,sul,3,164,3500
20,sul,1,30,1250
21,sul,3,180,4000
22,sul,2,80,1800
23,sul,2,85,1700
24,sul,3,70,2200
25,sul,,540,17000
26,sul,2,70,1250
27,sul,,85,2200
28,sul,1,30,1310
29,sul,4,105,4000
30,sul,3,220,3800
31,sul,2,60,1600
32,sul,,120,2200
33,sul,3,120,3500
34,sul,,342,3000
35,sul,2,300,10000
36,sul,2,70,1300
37,sul,,,3600
38,sul,4,350,4500
39,sul,4,350,15000
40,sul,1,100,550
41,sul,2,35,1200
42,sul,3,100,3500
43,sul,4,310,8000
44,sul,3,185,3800
45,sul,2,120,1800
46,sul,3,150,2500
47,sul,,80,4500
0,sul,4,380,6500
1,sul,,150,2500
2,sul,3,200,7000
3,sul,,,5500
4,sul,,,2000
5,sul,3,160,3500
6,sul,1,75,1500
7,sul,3,259,9500
8,sul,3,140,3400
9,sul,4,650,18000
10,sul,3,80,2100
11,sul,,350,10000
12,sul,,,4000
13,sul,,300,7500
14,sul,2,100,1400
15,sul,,,950
16,sul,,,2800
17,sul,2,150,4000
18,sul,3,60,2400
19,sul,3,230,6200
20,sul,1,80,3500
21,sul,4,450,28500
22,sul,4,208,6000
23,sul,,250,7500
24,sul,1,30,1100
25,sul,,,2200
26,sul,1,40,1200
27,sul,1,45,1100
28,sul,3,180,3400
29,sul,3,196,4060
30,sul,3,180,4000
31,sul,2,314,5000
32,sul,4,150,3400
33,sul,4,400,4300
34,sul,8,600,8000
35,sul,4,215,4000
36,sul,4,354,8000
37,sul,3,200,8000
38,sul,,200,4000
39,sul,3,130,3900
40,sul,4,120,3000
41,sul,3,270,9900
42,sul,2,100,2500
43,sul,4,380,6000
44,sul,5,1300,42000
45,sul,3,116,2794
46,sul,2,140,2300
47,sul,8,220,25000
0,sul,1,111,18000
1,sul,2,150,3400
