zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,0,0,1,1.3862943611198906,5.564520407322694,9.392745258631441
0,0,1,0,0.6931471805599453,3.4965075614664802,6.594413459749778
0,0,0,1,1.6094379124341003,5.442417710521793,8.517393171418904
0,0,1,0,0.6931471805599453,3.258096538021482,6.311734809152915
0,0,1,0,1.3862943611198906,5.3230099791384085,7.972810784121404
0,0,0,1,1.0986122886681098,5.6937321388027,9.61587214452889
1,0,0,0,0.6931471805599453,4.02535169073515,7.0909098220799835
0,0,1,0,0.6931471805599453,3.713572066704308,6.68586094706836
0,0,1,0,1.0986122886681098,4.948759890378168,7.696667081526462
0,0,1,0,1.6094379124341003,7.404887575616125,10.308985993422082
1,0,0,0,1.6094379124341003,6.431331081933479,9.90353755128617
0,1,0,0,1.0986122886681098,3.713572066704308,6.55250788703459
0,0,1,0,1.3862943611198906,5.5254529391317835,8.071218539969863
0,0,0,1,1.3862943611198906,5.8888779583328805,9.392745258631441
0,0,0,1,1.0986122886681098,6.075346031088684,10.819798284210286
1,0,0,0,1.0986122886681098,3.4339872044851463,6.2166061010848646
1,0,0,0,0.6931471805599453,3.8066624897703196,7.00397413672268
0,0,1,0,1.6094379124341003,5.638354669333745,9.392745258631441
0,1,0,0,0.6931471805599453,3.9318256327243257,6.710523109452428
0,0,0,1,1.0986122886681098,4.941642422609304,8.853808274977197
0,0,0,1,1.0986122886681098,5.198497031265826,8.895766604056085
0,0,1,0,1.791759469228055,5.8888779583328805,9.382274835883651
1,0,0,0,0.6931471805599453,3.713572066704308,6.478509642208569
0,0,1,0,1.3862943611198906,5.655991810819852,8.343077871169383
0,0,0,1,1.3862943611198906,5.3230099791384085,8.853808274977197
0,0,0,1,1.6094379124341003,6.77078942390898,10.463131911491967
0,1,0,0,0.6931471805599453,5.303304908059076,6.621405651764134
1,0,0,0,1.3862943611198906,5.081404364984463,7.824445930877619
0,0,0,1,1.6094379124341003,6.075346031088684,10.714439990727769
0,1,0,0,1.0986122886681098,4.2626798770413155,7.244941546337007
0,0,1,0,1.6094379124341003,6.194405391104672,9.472781556562168
0,1,0,0,1.0986122886681098,3.713572066704308,7.496097345175956
0,0,0,1,1.6094379124341003,5.707110264748875,9.441531454869693
1,0,0,0,1.0986122886681098,4.2626798770413155,7.0909098220799835
1,0,0,0,1.6094379124341003,5.5254529391317835,8.006700845440367
0,0,1,0,0.6931471805599453,4.2626798770413155,6.85751406254539
0,0,1,0,1.0986122886681098,4.110873864173311,7.650168700845001
